feature,importance
labor_force,0.9185324999459861
median_home_value,0.04074336753423846
median_household_income,0.014144227086345407
zip_code,0.005808336803562826
zip code tabulation area,0.005196605370040656
total_population_change,0.0018533600310493671
median_home_value_change,0.001779437148250511
median_household_income_change,0.0017406385624185732
labor_force_change,0.0014240982585325972
total_construction_cost_change,0.0010830901745186275
total_permits,0.0010312370939998088
total_permits_change,0.0008951606854987048
total_construction_cost,0.0008532027996120978
other_permits,0.000844006548683942
per_capita_income,0.0004493272819304584
unemployment_rate_change,0.00031126531933704294
commercial_construction_cost_change,0.0003085855612462287
gdp,0.0003041762873179001
unemployment_rate,0.0002613372996956691
retail_construction_cost_change,0.00022518811514783238
year,0.00022215856273154105
per_capita_income_change,0.00022078432871564313
commercial_permit_ratio,0.00021936402872075868
gdp_change,0.0001770774008548734
personal_income_change,0.00017598230097244774
personal_income,0.00016629079929579408
commercial_permits,0.00014368228990702074
residential_permits,0.0001074048927129243
renovation_permits,0.00010001980404844171
housing_units_change,9.69947414168301e-05
residential_permits_change,6.736075091137866e-05
retail_permits_change,6.382774254182092e-05
commercial_cost_ratio,6.15686614848897e-05
residential_permit_ratio,5.4363852822858896e-05
residential_construction_cost_change,4.69692871176831e-05
commercial_permits_change,4.6741491670738525e-05
housing_units,4.2341954895599265e-05
new_construction_permits,3.8977803932944205e-05
retail_construction_cost,3.884324004199216e-05
retail_cost_ratio,3.4763040823517004e-05
retail_permit_ratio,2.5836666144826747e-05
residential_cost_ratio,1.9375051158046342e-05
retail_permits,1.685598381816874e-05
residential_construction_cost,1.3778118457816465e-05
commercial_construction_cost,9.489297388647537e-06
